game_id,total_all,total_commented,total_rated,total_rated_and_commented,avgweight,numweights,poll_avg,poll_votes
160,,,,,0.0,0.0,0.0,0.0
161,,,,,0.0,0.0,0.0,0.0
162,3304.0,1246.0,2670.0,933.0,1.8785,288.0,1.8784722222222223,288.0
163,7126.0,1777.0,6538.0,1403.0,1.3949,352.0,1.3948863636363635,352.0
164,1621.0,559.0,1259.0,423.0,1.265,117.0,1.264957264957265,117.0
165,1185.0,403.0,920.0,287.0,2.0649,77.0,2.064935064935065,77.0
166,225.0,69.0,141.0,51.0,1.85,20.0,1.85,20.0
167,248.0,57.0,168.0,33.0,3.3125,16.0,3.3125,16.0
168,3569.0,1088.0,3070.0,849.0,2.6284,296.0,2.6283783783783785,296.0
169,2122.0,666.0,1752.0,502.0,1.3876,129.0,1.3875968992248062,129.0
170,4955.0,1372.0,4317.0,1084.0,1.3187,386.0,1.3186528497409329,386.0
171,41303.0,8091.0,39300.0,6664.0,3.6454,2967.0,3.645433097404786,2967.0
172,35244.0,7244.0,33398.0,6148.0,1.2513,1795.0,1.2512534818941503,1795.0
173,9055.0,2253.0,7984.0,1962.0,1.9558,791.0,1.9557522123893805,791.0
174,391.0,120.0,272.0,83.0,1.9091,22.0,1.9090909090909087,22.0
175,3240.0,951.0,2772.0,668.0,1.1629,221.0,1.16289592760181,221.0
176,2593.0,720.0,2176.0,584.0,1.2727,176.0,1.2727272727272727,176.0
177,3921.0,1288.0,3391.0,1106.0,3.6651,415.0,3.665060240963856,415.0
178,296.0,96.0,225.0,71.0,1.7188,32.0,1.71875,32.0
179,90.0,24.0,66.0,16.0,2.0,9.0,2.0,9.0
180,182.0,56.0,143.0,45.0,1.7273,22.0,1.7272727272727273,22.0
181,40353.0,8254.0,37794.0,6477.0,2.063,2443.0,2.0630372492836675,2443.0
182,1026.0,372.0,731.0,288.0,1.4239,92.0,1.423913043478261,92.0
183,230.0,56.0,153.0,33.0,1.8667,15.0,1.8666666666666667,15.0
184,,,,,0.0,0.0,0.0,0.0
185,961.0,289.0,722.0,230.0,1.1757,74.0,1.1756756756756757,74.0
186,294.0,78.0,208.0,49.0,1.1333,15.0,1.1333333333333333,15.0
187,,,,,0.0,0.0,0.0,0.0
188,19842.0,4330.0,18031.0,3372.0,3.9117,1665.0,3.911711711711712,1665.0
189,1227.0,296.0,948.0,212.0,2.7792,77.0,2.779220779220779,77.0
190,284.0,76.0,203.0,59.0,1.6875,16.0,1.6875,16.0
191,,,,,0.0,0.0,0.0,0.0
192,1326.0,322.0,1109.0,263.0,1.3486,109.0,1.348623853211009,109.0
193,904.0,236.0,772.0,156.0,1.1489,47.0,1.148936170212766,47.0
194,1044.0,308.0,850.0,252.0,1.4865,74.0,1.4864864864864864,74.0
195,149.0,66.0,113.0,51.0,1.1,10.0,1.1,10.0
196,3650.0,973.0,3001.0,726.0,2.8419,272.0,2.8419117647058822,272.0
197,141.0,38.0,96.0,25.0,2.0,8.0,2.0,8.0
198,349.0,121.0,250.0,80.0,1.5714,21.0,1.5714285714285714,21.0
199,6847.0,1584.0,5997.0,1184.0,1.9227,414.0,1.922705314009662,414.0
200,1975.0,440.0,1526.0,319.0,2.2468,154.0,2.2467532467532467,154.0
201,4378.0,959.0,3904.0,755.0,1.9378,241.0,1.937759336099585,241.0
202,993.0,212.0,789.0,125.0,2.3871,62.0,2.3870967741935485,62.0
203,12.0,6.0,8.0,4.0,1.0,1.0,1.0,1.0
204,4027.0,1194.0,3194.0,899.0,3.059,271.0,3.059040590405904,271.0
205,,,,,0.0,0.0,0.0,0.0
